2 1000 2000
2000 2002 8195 223
2000 13996 18200 223
2000 19602 1404 221
2000 19592 1405 221
2000 4007 13396 221
2000 3992 13402 221
2000 18603 12997 217
2000 18597 12998 217
2000 996 9191 217
2000 16993 2793 217
2000 1003 9208 216
2000 16600 2598 216
2000 3599 13403 216
2000 3600 13392 216
2000 12393 18791 212
2000 12398 18807 212
2000 14608 18797 212
2000 14594 18801 212
2000 6395 19797 206
2000 1791 12203 206
2000 1799 12193 206
2000 17801 5795 206
2000 796 14606 204
2000 2196 8590 204
2000 2207 8597 204
2000 11804 17808 204
2000 19197 5406 201
2000 18007 5609 201
2000 18007 5603 201
2000 406 11208 201
2000 1806 12608 198
2000 1807 12595 198
2000 2992 15803 198
2000 3004 15803 198
2000 2008 14794 198
2000 1998 14793 198
2000 15991 14603 198
2000 16006 14603 198
2000 19197 16804 189
2000 201 13593 189
2000 1993 14393 189
2000 6207 18592 189
2000 18807 13009 188
2000 16592 1599 188
2000 18804 13002 188
2000 17805 5209 188
2000 18403 5402 187
2000 17794 5202 187
2000 4390 14802 187
2000 4397 14800 187
2000 9798 17197 182
2000 4196 13402 182
2000 12608 3801 182
2000 12192 4999 182
2000 1803 8203 179
2000 10208 10792 179
2000 10203 10804 179
2000 16002 4198 179
2000 6401 18998 179
2000 5193 4805 179
2000 5198 4800 179
2000 10795 9802 179
2000 15799 16999 178
2000 4594 9805 178
2000 2009 14599 178
2000 4607 9802 178
2000 2805 3398 173
2000 409 7001 173
2000 2992 8996 173
2000 4390 8197 173
2000 390 2007 167
2000 3801 1996 167
2000 18199 16601 167
2000 17608 6395 167
2000 17598 10798 160
2000 3008 13407 160
2000 8594 17995 160
2000 11401 17992 160
2000 809 13596 157
2000 13204 18192 157
2000 10191 17790 157
2000 10206 17794 157
2000 18603 16594 151
2000 17792 11004 151
2000 9808 18395 151
2000 14194 18393 151
2000 6396 19598 150
2000 12602 18591 150
2000 10608 3195 150
2000 9798 16808 150
2000 15205 14802 150
2000 10599 3202 150
2000 9802 16999 150
2000 395 13595 150
2000 19795 5991 147
2000 5197 18192 147
2000 16405 14809 147
2000 16390 14794 147
2000 1595 12994 136
2000 10000 18805 136
2000 10608 18002 136
2000 16209 10794 136
2000 17797 16790 135
2000 13190 4593 135
2000 13190 4594 135
2000 7594 4996 135
2000 11803 5191 135
2000 11209 11398 135
2000 8208 5990 135
2000 8190 6009 135
2000 6399 19194 134
2000 3799 15605 134
2000 6800 2200 134
2000 17806 16791 134
2000 7792 18797 131
2000 18005 11404 131
2000 19600 18203 131
2000 11397 8403 131
2000 11999 17403 128
2000 2198 14004 128
2000 8794 18008 128
2000 9009 17996 128
2000 12390 19590 126
2000 2803 6994 126
2000 3999 3391 126
2000 7208 3802 126
2000 13398 18205 122
2000 999 6007 122
2000 4209 15191 122
2000 4194 15197 122
2000 15193 3198 122
2000 16005 11002 122
2000 14590 19601 122
2000 6401 19404 122
2000 13609 18203 120
2000 13593 18195 120
2000 7391 5592 120
2000 7405 5597 120
2000 19604 10194 114
2000 4196 18991 114
2000 3191 9409 114
2000 3204 9406 114
2000 17592 16994 103
2000 17593 16994 103
2000 15595 13403 103
2000 16590 2194 103
2000 2609 7607 100
2000 2593 7599 100
2000 12395 19204 100
2000 9598 9608 100
