2 1000 2000
2000 19192 14791 194
2000 19806 15392 194
2000 19602 14802 194
2000 6800 15003 193
2000 17594 11806 193
2000 7604 4804 193
2000 9393 11398 193
2000 13191 7407 193
2000 18996 8590 193
2000 19606 8603 193
2000 12808 8005 193
2000 7791 4392 190
2000 6606 1398 190
2000 199 11608 190
2000 2808 193 190
2000 4393 7200 190
2000 10606 18599 190
2000 11802 17808 190
2000 10795 17393 190
2000 10200 17590 190
2000 11403 17803 190
2000 12193 18201 190
2000 12599 18597 190
2000 10590 17001 188
2000 11995 16809 188
2000 12802 18002 188
2000 12393 16397 188
2000 12596 16797 187
2000 13194 17601 187
2000 13005 17191 187
2000 13609 17398 187
2000 12205 17803 186
2000 13805 17800 186
2000 14205 17404 186
2000 14397 17809 186
2000 13008 16606 182
2000 13406 16804 182
2000 13995 16999 182
2000 12802 17606 182
2000 11591 16601 179
2000 11006 17003 179
2000 11991 16406 179
2000 12009 17409 179
2000 14592 17394 179
2000 14408 17003 179
2000 13207 18001 179
2000 12392 17199 179
2000 14398 16591 177
2000 10990 16592 177
2000 9997 17198 177
2000 9594 17404 177
2000 10592 16595 173
2000 9792 17790 173
2000 10205 16804 173
2000 9393 18000 173
2000 9793 16593 172
2000 9193 17596 172
2000 10004 16194 172
2000 9396 16208 172
2000 9195 16595 171
2000 8799 17792 171
2000 8605 17390 171
2000 8794 17007 171
2000 8598 16608 170
2000 8809 16201 170
2000 8390 18008 170
2000 8395 16997 170
2000 8598 18394 167
2000 9002 18393 167
2000 8790 18807 167
2000 9191 16995 167
2000 9991 19395 165
2000 9601 15796 165
2000 8201 16390 165
2000 8409 15995 165
2000 9604 16999 161
2000 9202 15793 161
2000 8794 15599 161
2000 8199 18802 161
2000 16594 1207 156
2000 8201 18394 156
2000 8596 19195 156
2000 8003 16001 156
2000 8196 15603 154
2000 12197 18607 154
2000 12409 18994 154
2000 9390 15394 154
2000 8999 15202 153
2000 8590 19601 153
2000 9005 19796 153
2000 7801 18996 153
2000 7408 19203 153
2000 7599 19605 153
2000 7192 19594 153
2000 6992 19197 153
2000 6190 18200 150
2000 8191 19809 150
2000 8393 15201 150
2000 8808 14800 150
2000 9196 14792 149
2000 12409 16008 149
2000 8994 14401 149
2000 7390 17398 149
2000 16596 409 132
2000 17992 406 132
2000 8792 19408 132
2000 14793 17805 132
2000 9004 17997 115
2000 8407 17606 115
2000 9198 18590 115
2000 7603 18798 115
