2 1000 2000
2000 18239 11388 207
2000 12027 4309 207
2000 4416 6312 207
2000 1458 1501 201
2000 4440 4894 201
2000 14234 10695 201
2000 9974 10868 201
2000 7998 16879 200
2000 14365 13089 200
2000 9997 10673 200
2000 6689 11996 200
2000 11445 889 198
2000 14349 12214 198
2000 9921 18807 198
2000 13204 1737 198
2000 11523 104 196
2000 14034 6412 196
2000 8530 17901 196
2000 9926 18275 196
2000 15403 12382 195
2000 10686 10013 195
2000 9965 757 195
2000 16231 3628 195
2000 19180 17703 190
2000 11480 7533 190
2000 11539 7165 190
2000 13719 1850 190
2000 3260 8913 190
2000 18358 10746 190
2000 17545 17753 190
2000 8618 19234 190
2000 19114 17527 185
2000 818 19967 185
2000 9918 176 185
2000 14434 10491 185
2000 12644 18619 183
2000 19011 17283 183
2000 16794 11307 183
2000 19135 18102 183
2000 18368 16977 175
2000 213 1305 175
2000 19469 15986 175
2000 3292 6288 175
2000 9259 8398 173
2000 12870 1423 173
2000 18525 4422 173
2000 540 2799 173
2000 495 19978 168
2000 11515 75 168
2000 7289 7405 168
2000 1634 1916 168
2000 16450 4085 167
2000 18420 10823 167
2000 11282 19218 167
2000 11171 1210 167
2000 1541 1621 161
2000 18465 15359 161
2000 13950 10875 161
2000 19120 15993 161
2000 19187 18059 158
2000 695 18286 158
2000 4751 5259 158
2000 1311 19825 158
2000 9312 15316 154
2000 18405 4370 154
2000 18924 14412 154
2000 1572 1553 154
2000 18244 4350 150
2000 11295 17821 150
2000 10311 1199 150
2000 19190 17861 150
2000 10126 16674 148
2000 12842 572 148
2000 10748 16396 148
2000 5844 6518 148
2000 11559 10301 148
2000 19356 16044 148
2000 8443 9806 148
2000 18118 4354 148
2000 699 1059 145
2000 749 18281 145
2000 17871 7243 145
2000 11629 213 145
2000 11499 923 143
2000 2946 5694 143
2000 15187 3310 143
2000 10946 3007 143
2000 6259 8156 142
2000 14703 4635 142
2000 18447 6130 142
2000 11716 19431 142
2000 12458 17926 140
2000 11197 4291 140
2000 1517 2472 140
2000 248 2674 140
2000 514 18303 139
2000 6290 17433 139
2000 10946 18741 139
2000 10262 1195 139
2000 18343 18675 138
2000 11615 182 138
2000 10581 6313 138
2000 8250 18792 138
2000 16835 12424 129
2000 9881 82 129
2000 11326 19291 129
2000 18862 5895 129
2000 9784 17882 125
2000 6341 17532 125
2000 8038 8126 125
2000 16014 3349 125
2000 19256 17765 119
2000 19201 17515 119
2000 102 19749 119
2000 13095 265 119
2000 13502 77 118
2000 12909 7112 118
2000 954 2845 118
2000 14532 12954 118
2000 1336 1257 116
2000 19018 18419 116
2000 486 18273 116
2000 11062 19100 116
2000 10975 18932 116
2000 12285 19338 116
2000 12903 446 116
2000 19964 14576 116
2000 8845 17613 115
2000 225 1206 115
2000 18716 6054 115
2000 19603 16015 115
2000 19050 4801 114
2000 18002 4350 114
2000 12839 543 114
2000 406 19984 114
2000 19088 17242 106
2000 10057 18505 106
2000 9408 19437 106
2000 135 2624 106
2000 1682 19275 106
2000 148 2679 106
2000 1449 19762 106
2000 11180 19232 106
2000 18473 15520 106
2000 12732 1196 106
2000 11678 506 106
2000 19565 16035 106
2000 92 19779 104
2000 17 19693 104
2000 17280 5287 104
2000 9858 164 104
